"school_id","school_name","address","nearest_park_distance_m"
34,"Grundschule an der Ostpreußenstraße 88","Ostpreußenstraße 88",1046.1772840006217
449,"Otto-Steiner-Schule, privates Förderzentrum geistige Entwicklung","Rainfarnstraße 44",1047.5994284702654
260,"Grundschule Berg-am-Laim","Berg-am-Laim-Straße 142",1049.3306521894028
399,"Grillviertel",NULL,1055.8451606767217
215,"Städtische Artur-Kutscher-Realschule","Gerastraße 6",1060.317804356236
295,"Grundschule an der Fröttmaninger Straße","Fröttmaninger Straße 21",1083.2265422216456
262,"Sonderpädagogisches Förderzentrum München Nord-Ost (Haus 2)","Gertrud-Grunow-Straße 51",1089.8608054213914
311,"Konfuzius-Institut München e.V.",NULL,1090.9508375574178
156,"Albert-Einstein-Gymnasium","Lautererstraße 2",1094.6668096186472
204,"Bayerische Landesschule für Körperbehinderte","Kurzstraße 2",1105.5081415534491
2,"Städtisches Louise-Schroeder-Gymnasium","Pfarrer-Grimm-Straße 1",1105.815115688601
125,"Städtische Erich-Kästner-Realschule",NULL,1108.2634840411067
304,"Inklusive Monte Balan",NULL,1112.0454411387027
263,"Grundschule am Bauhausplatz","Bauhausplatz 9",1112.6077672846236
214,"Gymnasium München/Moosach","Gerastraße 6",1112.6793486475565
150,"Grundschule am Strehleranger",NULL,1122.672834273718
439,"Grundschule an der Gerastraße","Gerastraße 6",1132.8497893736512
185,"Lycée Jean Renoir","Berlepschstraße 3",1134.4623859412488
56,"Schulzentrum an der Gerastraße",NULL,1134.757544068711
99,"Grundschule an der Pfarrer-Grimm-Straße","Pfarrer-Grimm-Straße 1",1144.8321194138834
264,"Grund- und Mittelschule an der Lehrer-Wirth-Straße 31","Lehrer-Wirth-Straße 31",1144.872289785008
369,"Münchnervolkshochschule MVHS","Blodigstraße 4",1145.7363434169547
8,"Wichern Zentrum","Heinrich-Braun-Weg 9",1164.9364849761575
136,"Grundschule an der Oselstraße","Oselstraße 21",1165.2357873740348
211,"Grundschule mit Tagesheim Theodor-Heuss-Platz 6",NULL,1175.4740914708045
289,"Gymnasium Neufreimann","Friederike-Nadig-Allee 48",1188.892049646912
341,"Staatliche Fachoberschule und Berufsoberschule für Wirtschaft München Filiale Lipowskystraße 15","Lipowskystraße 15",1191.377879908779
53,"Sonderpädagogisches Förderzentrum München Nord","Heinrich-Braun-Weg 11",1225.16766483651
126,"Grundschule an der Ittlingerstraße",NULL,1229.8925096849898
39,"Grundschule an der Waldmeisterstraße","Waldmeisterstraße 38",1243.0148232680688
213,NULL,NULL,1243.5019780036355
95,"Förderschule und Heilpädagogische Tagesstätte","Köferinger Straße 20",1244.6478028072231
147,"Grundschule an der Eversbuschstraße 182",NULL,1245.0509955236157
453,"SFZ München Nord-West",NULL,1259.5340454975096
333,"neuhof Schulen","Plinganserstraße 138",1265.944908641598
86,"Städtische Wilhelm-Busch-Realschule","Krehlebogen 16",1295.6705279601008
158,"Grundschule an der Berner Straße","Berner Straße 6",1300.019875738452
146,"Manzoschule",NULL,1314.160284212783
388,"Mentor Fortbildungen","Charles-de-Gaulle-Straße 2",1318.0836812861653
389,"Carl Remigius Medical School","Charles-de-Gaulle-Straße 2",1320.6539417211086
212,"Samuel-Heinicke-Fachoberschule","Dachstraße 19",1325.2562569344145
386,"Hochschule Fresenius","Charles-de-Gaulle-Straße 2",1327.7987916562843
387,"Ludwig Fresenius Schulen","Charles-de-Gaulle-Straße 2",1329.793922575465
3,"Städtische Berufliche Schulen Orleansstraße 46","Orleansstraße 46",1331.6334781338023
6,"Grundschule an der Manzostraße","Manzostraße 79",1334.18205266294
52,"Städtisches Berufsschulzentrum an der Orleansstraße",NULL,1344.4220994526665
133,"Montessori-Schule im Olympiapark","Willi-Gebhardt-Ufer 32",1352.8354414370956
87,"Wilhelm-Röntgen-Realschule München","Klabundstraße 8",1360.189643409561
83,"Grundschule an der Helsinkistraße",NULL,1361.862405415382
431,"Staatliche Fachober- und Berufsoberschule Technik München","Orleansstraße 44",1369.998354414495
64,"Grundschule Kafkastraße 9","Kafkastraße 9",1378.3272408913356
216,"Grundschule am Hedernfeld",NULL,1379.1925031294938
254,"Internationale Montessori-Schule München","Lerchenstraße 14",1383.426473144156
430,"MVHS (Volkshochschule München)",NULL,1395.8415059848533
217,"Grundschule an der Weißenseestraße",NULL,1400.4806574084355
21,"Grundschule am Schererplatz","Schererplatz 3",1407.44697141449
238,"Schulen an der Fernpaßstraße",NULL,1410.7398811954617
183,"Staatliche Berufliche Oberschule für Wirtschaft","Lindwurmstraße 90",1411.6099681871215
1,"Grund- und Mittelschule an der Fromundstraße 5",NULL,1414.1508206032925
409,"Mittelschule an der Sambergerstraße",NULL,1422.6541701812732
371,"Arrow ECS Trainingszentrum","Elsenheimerstraße 1",1424.9145629826348
236,"Dom-Pedro-Grundschule","Dom-Pedro-Platz 2",1431.77374799915
460,"Osteopathie Schule Deutschland","Quagliostraße 9",1434.9246906297885
42,"Städtisches Elsa-Brändström-Gymnasium","Ebenböckstraße 1",1436.1724450296974
15,"Grundschule an der Weißenseestraße","Weißenseestraße 45",1451.9853605515357
151,NULL,NULL,1463.718466165831
367,"Staatliche Dieter-Hildebrandt-Wirtschaftsschule München","Meindlstraße 8a",1464.7463154112013
408,"Grundschule an der Sambergerstraße 14",NULL,1474.4167021465012
4,NULL,NULL,1474.8991976474372
46,"Grundschule an der Plinganserstraße","Plinganserstraße 28",1489.7149775607982
335,"Grundschule an der Plinganserstraße - Außenstelle Meindlstraße","Meindlstraße 8",1494.8058134381645
205,NULL,NULL,1496.2302742901904
50,"Grund- und Mittelschule an der Schrobenhausener Straße","Schrobenhausener Straße 15",1502.9164303409277
287,"Grundschule an der Theoder-Fischer-Straße",NULL,1521.6782231394734
159,"Mittelschule Zielstattstraße","Würmseestraße 71",1532.0340895328943
203,"Katholische Fachakademie für Sozialpädagogik München","Theodolindenstraße 24",1541.8862832758887
461,"Grundschule an der Bäckerstraße","Bäckerstraße 58",1543.0889599632794
37,"Schulzentrum an der Quiddestraße","Quiddestraße 4",1550.168112778968
419,"Städtische Robert-Bosch-Fachoberschule Wirtschaft","Schleißheimer Straße 510",1554.1255531087036
376,"Städtische Nelson-Mandela-Berufsoberschule Wirtschaft","Schleißheimer Straße 510",1556.1671319328912
427,"Grundschule Stielerstraße 6","Stielerstraße 6",1558.4622305358419
19,"Freie Waldorfschule München Südwest",NULL,1560.375740952391
55,"Grundschule Konrad-Celtis-Straße",NULL,1566.4612814770219
182,NULL,NULL,1571.3193710621877
79,"Schulungszentrum McDonald's","51",1573.4035775417763
360,"Städtisches Werner-von-Siemens-Gymnasium","Quiddestraße 4",1579.703703878122
189,"Privatgymnasium Dr. Florian Überreiter","Pariser Straße 30",1581.9964894003087
307,"Private Wirtschaftsschule begemann e. V.",NULL,1584.759586623754
339,"Sonderpädagogisches Förderzentrum München-Süd","Stielerstraße 6",1593.3511839994624
171,"Gertrud-Bäumer-Grundschule","Gertrud-Bäumer-Straße 19",1598.1282701857372
407,"Städtische Anne-Frank-Realschule","Bäckerstraße 58",1601.6539750437778
168,"Grundschule an der Helmholtzstraße","Helmholtzstraße 6",1605.375209265398
359,"Städtische Werner-von-Siemens-Realschule","Quiddestraße 4",1608.893302051263
154,"Lukas-Schule (Grundschule)",NULL,1613.4737594417875
165,"Grund u- Mittelschule Grosshaderner Straße",NULL,1621.1729080381683
172,"Samuel-Heinicke-Realschule und Internat","In den Kirschen 1",1627.1842189784186
358,"Städtische Schulartunabhängige Orientierungsstufe","Quiddestraße 4",1638.1642882122037
43,"Grund- und Mittelschule an der Toni-Pfülf-Straße","Toni-Pfülf-Straße 30",1655.281248792125
342,"Prisma e.V.","Hermann-Lingg-Straße 13",1659.9311602481123
123,"Akademie des Städtischen Klinikums München","Kraepelinstraße 18",1664.793723614546
12,"Berufsfachschule für Pflegekräfte","Kraepelinstraße 18",1677.5315305079039
186,"München Klinik Akademie",NULL,1683.4085363121503
415,"Internationale Montessorischule München","Albert-Schweitzer-Straße 68",1688.9393817736461
113,"Bazeilles-Grundschule",NULL,1690.6390695997961
354,"Immanuel-Schule",NULL,1694.0228338601205
177,"Mittelschule an der Albert-Schweitzer-Straße","Albert-Schweitzer-Straße 59",1696.2417071126158
81,"Mittel- und Förderschule am Gerhart-Hauptmann-Ring","Gerhart-Hauptmann-Ring 15",1698.7486034031917
